fin_de_semana,hora_date,linea,estacion,total
False,0,LineaA,Acoyte,1.25
False,0,LineaA,Carabobo,1.0
False,0,LineaA,Flores,1.0
False,0,LineaA,Loria,1.0
False,0,LineaA,Peru,1.0
False,0,LineaA,Plaza Miserere,1.0769230769230769
False,0,LineaA,Rio de Janeiro,2.0
False,0,LineaB,Carlos Gardel,1.0
False,0,LineaB,Federico Lacroze,1.0
False,0,LineaB,Leandro N. Alem,1.0
False,0,LineaB,Malabia,1.0
False,0,LineaC,Constitucion,1.0
False,0,LineaC,Independencia,1.25
False,0,LineaD,Congreso de Tucuman,1.3333333333333333
False,0,LineaD,Jose Hernandez,1.0
False,0,LineaD,Ministro Carranza,1.0
False,0,LineaD,Olleros,1.0
False,0,LineaD,Palermo,1.1428571428571428
False,0,LineaD,Plaza Italia,1.0
False,0,LineaE,Avenida La Plata,1.4285714285714286
False,0,LineaE,Boedo,1.0
False,0,LineaE,Bolivar,1.0
False,0,LineaE,Catalinas,1.3333333333333333
False,0,LineaE,Correo Central,1.0
False,0,LineaE,Emilio Mitre,1.0
False,0,LineaE,Entre Rios,1.0
False,0,LineaE,Independencia.H,1.0
False,0,LineaE,Jujuy,1.0
False,0,LineaE,Pichincha,1.0
False,0,LineaE,Pza. de los Virreyes,1.0
False,0,LineaE,Retiro E,1.7142857142857142
False,0,LineaE,San Jose,1.0
False,0,LineaE,Urquiza,1.0
False,0,LineaE,Varela,5.0
False,0,LineaH,Cordoba,1.0
False,0,LineaH,Corrientes,1.0
False,0,LineaH,Humberto I,1.0
False,0,LineaH,Las Heras,1.0
False,0,LineaH,Once,2.5
False,0,LineaH,Santa Fe,2.0
False,0,LineaH,Venezuela,1.0
False,1,LineaA,Acoyte,1.5
False,1,LineaA,Flores,1.0
False,1,LineaA,Lima,1.0
False,1,LineaA,Plaza Miserere,1.0
False,1,LineaA,Rio de Janeiro,1.0
False,1,LineaB,Federico Lacroze,1.3333333333333333
False,1,LineaB,Malabia,1.0
False,1,LineaB,Pueyrredon,1.0
False,1,LineaB,Rosas,1.0
False,1,LineaD,Congreso de Tucuman,1.0
False,1,LineaD,Pueyrredon.D,1.0
False,1,LineaE,Avenida La Plata,1.0
False,1,LineaE,Catalinas,1.5
False,1,LineaE,Correo Central,2.0
False,1,LineaE,Pza. de los Virreyes,1.0
False,1,LineaE,Retiro E,1.4
False,1,LineaE,Varela,2.0
False,1,LineaH,Once,1.5
False,2,LineaA,Acoyte,2.6666666666666665
False,2,LineaA,Congreso,1.0
False,2,LineaA,Flores,2.0
False,2,LineaA,Lima,1.0
False,2,LineaA,Plaza Miserere,2.0
False,2,LineaB,Federico Lacroze,1.0
False,2,LineaB,Leandro N. Alem,1.0
False,2,LineaB,Pueyrredon,1.3333333333333333
False,2,LineaB,Rosas,1.0
False,2,LineaC,Mariano Moreno,1.0
False,2,LineaD,Catedral,1.0
False,2,LineaD,Congreso de Tucuman,1.6666666666666667
False,2,LineaD,Pueyrredon.D,1.0
False,2,LineaD,Scalabrini Ortiz,1.0
False,2,LineaE,Catalinas,1.0
False,2,LineaE,Correo Central,1.0
False,2,LineaE,Independencia.H,1.0
False,2,LineaE,Jose Maria Moreno,1.0
False,2,LineaE,Retiro E,1.8333333333333333
False,2,LineaE,Varela,1.0
False,2,LineaH,Once,1.0
False,3,LineaA,Acoyte,2.3333333333333335
False,3,LineaA,Plaza Miserere,2.0
False,3,LineaB,Federico Lacroze,1.0
False,3,LineaB,Malabia,2.0
False,3,LineaB,Rosas,1.0
False,3,LineaD,Catedral,2.0
False,3,LineaD,Congreso de Tucuman,1.0
False,3,LineaD,Palermo,1.0
False,3,LineaD,Plaza Italia,2.0
False,3,LineaE,Boedo,1.0
False,3,LineaE,Catalinas,2.0
False,3,LineaE,Correo Central,1.0
False,3,LineaE,Independencia.H,1.0
False,3,LineaE,Pza. de los Virreyes,1.0
False,3,LineaE,Retiro E,1.75
False,3,LineaH,Hospitales,2.0
False,4,LineaA,Acoyte,1.7619047619047619
False,4,LineaA,Carabobo,1.368421052631579
False,4,LineaA,Flores,1.0
False,4,LineaA,Lima,1.0
False,4,LineaA,Loria,1.0
